date,adCost
2016-09-01,152.06
2016-09-02,161.67
2016-09-03,127.9
2016-09-04,127.92
2016-09-05,153.58
2016-09-06,162.66
2016-09-07,151.37
2016-09-08,157.33
2016-09-09,137.44
2016-09-10,148.53
2016-09-11,136.72
2016-09-12,139.8
2016-09-13,172.76
2016-09-14,174.75
2016-09-15,140.71
2016-09-16,169.79
2016-09-17,128.23
2016-09-18,157.66
2016-09-19,160.56
2016-09-20,188.24
2016-09-21,157.11
2016-09-22,157.09
2016-09-23,154.82
2016-09-24,127.58
2016-09-25,137.61
2016-09-26,161.82
2016-09-27,157.07
2016-09-28,163.65
2016-09-29,125.53
2016-09-30,71.36
2016-10-01,134.48
2016-10-02,158.2
2016-10-03,159.18
2016-10-04,183.12
2016-10-05,183.39
2016-10-06,150.42
2016-10-07,172.92
2016-10-08,141.82
2016-10-09,151.07
2016-10-10,213.88
2016-10-11,174.32
2016-10-12,128.32
2016-10-13,193.04
2016-10-14,171.08
2016-10-15,113.39
2016-10-16,127.07
2016-10-17,209.78
2016-10-18,205.65
2016-10-19,191.39
2016-10-20,229.25
2016-10-21,216.76
2016-10-22,178.61
2016-10-23,169.22
2016-10-24,214.21
2016-10-25,196.76
2016-10-26,194.8
2016-10-27,204.46
2016-10-28,178.04
2016-10-29,99.3
2016-10-30,103.78
2016-10-31,70.27
2016-11-01,155.98
2016-11-02,171.07
2016-11-03,157.41
2016-11-04,205.84
2016-11-05,240.71
2016-11-06,235.44
2016-11-07,294.51
2016-11-08,254.78
2016-11-09,246.65
2016-11-10,282.73
2016-11-11,245.55
2016-11-12,159.3
2016-11-13,169.99
2016-11-14,252.36
2016-11-15,236.03
2016-11-16,280.62
2016-11-17,227.76
2016-11-18,215.29
2016-11-19,118.87
2016-11-20,109.44
2016-11-21,237.19
2016-11-22,224.91
2016-11-23,190.15
2016-11-24,219.65
2016-11-25,191.76
2016-11-26,82.1
2016-11-27,79.61
2016-11-28,123.1
2016-11-29,122.71
2016-11-30,71.56
2016-12-01,55.67
2016-12-02,47.47
2016-12-03,45.92
2016-12-04,25.28
2016-12-05,52.5
2016-12-06,42.21
2016-12-07,53.22
2016-12-08,36.93
2016-12-09,60.26
2016-12-10,41.02
2016-12-11,41.68
2016-12-12,50.11
2016-12-13,53.93
2016-12-14,50.46
2016-12-15,59.58
2016-12-16,56.85
2016-12-17,51.06
2016-12-18,51.92
2016-12-19,55.66
2016-12-20,55.19
2016-12-21,45.7
2016-12-22,53.4
2016-12-23,44.27
2016-12-24,18.23
2016-12-25,34.79
2016-12-26,32.58
2016-12-27,39.88
2016-12-28,40.45
2016-12-29,29.84
2016-12-30,32.06
2016-12-31,29.84
2017-01-01,30.66
2017-01-02,46.1
2017-01-03,53.36
2017-01-04,57.65
2017-01-05,45.69
2017-01-06,26.28
2017-01-07,42.9
2017-01-08,42.25
2017-01-09,66.0
2017-01-10,262.78
2017-01-11,212.72
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,249.49
2017-01-17,235.47
2017-01-18,281.94
2017-01-19,301.46
2017-01-20,300.05
2017-01-21,288.12
2017-01-22,328.94
2017-01-23,342.73
2017-01-24,386.01
2017-01-25,377.56
2017-01-26,351.98
2017-01-27,392.57
2017-01-28,279.12
2017-01-29,316.17
2017-01-30,350.94
2017-01-31,306.51
2017-02-01,413.63
2017-02-02,409.31
2017-02-03,432.75
2017-02-04,374.13
2017-02-05,301.49
2017-02-06,441.57
2017-02-07,388.34
2017-02-08,422.41
2017-02-09,439.17
2017-02-10,387.26
2017-02-11,330.6
2017-02-12,341.65
2017-02-13,393.18
2017-02-14,377.35
2017-02-15,352.56
2017-02-16,350.82
2017-02-17,292.57
2017-02-18,278.31
2017-02-19,311.45
2017-02-20,338.28
2017-02-21,339.34
2017-02-22,373.21
2017-02-23,363.63
2017-02-24,365.85
2017-02-25,355.83
2017-02-26,271.51
2017-02-27,380.2
2017-02-28,366.16
2017-03-01,395.18
2017-03-02,396.17
2017-03-03,341.67
2017-03-04,297.2
2017-03-05,327.56
