date,campaign,impressions,adClicks,adCost,cpc
2016-09-01,0 - MARCA,18.0,4.0,0.82,0.205
2016-09-01,0 - MARCA BCN,6.0,0.0,0.0,0.0
2016-09-01,ALI - MASTER - MARKETING ONLINE,10.0,1.0,5.91,5.91
2016-09-01,AND - MASTER - ANALITICA WEB,12.0,0.0,0.0,0.0
2016-09-01,AND - MASTER - MARKETING ONLINE,10.0,0.0,0.0,0.0
2016-09-01,AND - MASTER - SEO y SEM,36.0,0.0,0.0,0.0
2016-09-01,BCN - MASTER - ANALITICA WEB,8.0,1.0,17.94,17.94
2016-09-01,BCN - MASTER - MARKETING ONLINE,6.0,1.0,26.32,26.32
2016-09-01,BCN - MASTER - SEO y SEM,18.0,0.0,0.0,0.0
2016-09-01,BCN - MASTER - UX,14.0,2.0,5.75,2.875
2016-09-01,MAD - CURSO - APACHE FLINK,12.0,0.0,0.0,0.0
2016-09-01,MAD - CURSO - ESTADISTICA,19.0,1.0,0.6,0.6
2016-09-01,MAD - CURSO - HADOOP & SPARK,87.0,1.0,1.06,1.06
2016-09-01,MAD - CURSO - MK CONTENIDO PERIODISTAS,8.0,0.0,0.0,0.0
2016-09-01,MAD - CURSO - OPEN STACK,30.0,1.0,0.57,0.57
2016-09-01,MAD - CURSO - PROGRAMACION,19.0,1.0,1.14,1.14
2016-09-01,MAD - CURSO - R,57.0,0.0,0.0,0.0
2016-09-01,MAD - CURSO - SOLUCIONES NEGOCIO,9.0,1.0,1.15,1.15
2016-09-01,MAD - MASTER - ANALITICA WEB,12.0,0.0,0.0,0.0
2016-09-01,MAD - MASTER - BIG DATA,14.0,2.0,23.93,11.965
2016-09-01,MAD - MASTER - DATA SCIENCE,49.0,3.0,10.49,3.4966666666666666
2016-09-01,MAD - MASTER - MARKETING ONLINE,14.0,0.0,0.0,0.0
2016-09-01,MAD - MASTER - SEO y SEM,20.0,1.0,23.97,23.97
2016-09-01,MAD - MASTER - UX,44.0,2.0,13.33,6.665
2016-09-01,NAC - MASTER - ANALITICA WEB,19.0,0.0,0.0,0.0
2016-09-01,NAC - MASTER - BIG DATA,11.0,0.0,0.0,0.0
