date,campaign,users,newUsers,bounces
2016-09-01,(not set),2.0,1.0,1.0
2016-09-01,0 - MARCA,5.0,2.0,4.0
2016-09-01,ALI - MASTER - MARKETING ONLINE,1.0,0.0,1.0
2016-09-01,BCN - MASTER - ANALITICA WEB,1.0,1.0,1.0
2016-09-01,BCN - MASTER - UX,1.0,0.0,0.0
2016-09-01,MAD - CURSO - ESTADISTICA,1.0,1.0,0.0
2016-09-01,MAD - CURSO - OPEN STACK,1.0,1.0,1.0
2016-09-01,MAD - CURSO - PROGRAMACION,1.0,1.0,1.0
2016-09-01,MAD - CURSO - R,1.0,0.0,1.0
2016-09-01,MAD - CURSO - SOLUCIONES NEGOCIO,2.0,2.0,2.0
2016-09-01,MAD - MASTER - BIG DATA,2.0,2.0,0.0
2016-09-01,MAD - MASTER - DATA SCIENCE,2.0,2.0,2.0
2016-09-01,MAD - MASTER - SEO y SEM,1.0,1.0,0.0
2016-09-01,MAD - MASTER - UX,3.0,2.0,2.0
2016-09-01,NAC - MASTER - DATA SCIENCE,1.0,1.0,0.0
2016-09-01,NAC - MASTER - UX,1.0,1.0,1.0
2016-09-01,VAL - MASTER - SEO y SEM,1.0,1.0,1.0
2016-09-02,0 - MARCA,6.0,4.0,5.0
2016-09-02,0 - MARCA BCN,3.0,2.0,0.0
2016-09-02,AND - MASTER - SEO y SEM,1.0,1.0,1.0
2016-09-02,BCN - MASTER - ANALITICA WEB,2.0,1.0,1.0
2016-09-02,BCN - MASTER - MARKETING ONLINE,2.0,2.0,2.0
2016-09-02,MAD - CURSO - ESTADISTICA,1.0,1.0,0.0
2016-09-02,MAD - CURSO - HADOOP & SPARK,1.0,0.0,1.0
2016-09-02,MAD - CURSO - PROGRAMACION,1.0,1.0,1.0
2016-09-02,MAD - MASTER - BIG DATA,1.0,1.0,1.0
2016-09-02,MAD - MASTER - DATA SCIENCE,3.0,3.0,3.0
2016-09-02,MAD - MASTER - SEO y SEM,2.0,2.0,2.0
2016-09-02,MAD - MASTER - UX,1.0,1.0,1.0
2016-09-02,NAC - MASTER - BIG DATA,1.0,1.0,0.0
2016-09-02,NAC - MASTER - DATA SCIENCE,1.0,1.0,0.0
2016-09-02,NAC - MASTER - SEO y SEM,1.0,1.0,0.0
2016-09-02,NAC - MASTER - UX,1.0,1.0,1.0
2016-09-02,VAL - MASTER - SEO y SEM,1.0,1.0,0.0
2016-09-03,0 - MARCA,2.0,0.0,1.0
2016-09-03,AND - MASTER - SEO y SEM,1.0,1.0,1.0
2016-09-03,BCN - MASTER - SEO y SEM,1.0,1.0,1.0
2016-09-03,BCN - MASTER - UX,1.0,1.0,1.0
2016-09-03,MAD - CURSO - PROGRAMACION,1.0,1.0,1.0
2016-09-03,MAD - MASTER - BIG DATA,1.0,1.0,1.0
2016-09-03,MAD - MASTER - DATA SCIENCE,1.0,0.0,1.0
2016-09-03,MAD - MASTER - SEO y SEM,2.0,2.0,2.0
2016-09-03,MAD - MASTER - UX,3.0,2.0,2.0
2016-09-03,NAC - MASTER - ANALITICA WEB,1.0,1.0,0.0
2016-09-03,NAC - MASTER - DATA SCIENCE,1.0,0.0,1.0
2016-09-03,NAC - MASTER - MARKETING ONLINE,1.0,1.0,1.0
2016-09-03,NAC - MASTER - UX,2.0,2.0,1.0
2016-09-03,VAL - MASTER - SEO y SEM,1.0,0.0,1.0
2016-09-04,0 - MARCA,4.0,2.0,2.0
2016-09-04,AND - MASTER - ANALITICA WEB,1.0,0.0,1.0
2016-09-04,AND - MASTER - SEO y SEM,1.0,1.0,1.0
2016-09-04,BCN - MASTER - MARKETING ONLINE,1.0,1.0,1.0
2016-09-04,BCN - MASTER - SEO y SEM,1.0,1.0,1.0
2016-09-04,MAD - CURSO - ESTADISTICA,1.0,1.0,1.0
2016-09-04,MAD - CURSO - OPEN STACK,1.0,1.0,1.0
2016-09-04,MAD - CURSO - PROGRAMACION,2.0,2.0,1.0
2016-09-04,MAD - CURSO - R,1.0,1.0,1.0
2016-09-04,MAD - MASTER - ANALITICA WEB,2.0,2.0,1.0
2016-09-04,MAD - MASTER - BIG DATA,1.0,1.0,1.0
2016-09-04,MAD - MASTER - DATA SCIENCE,1.0,1.0,0.0
2016-09-04,MAD - MASTER - MARKETING ONLINE,1.0,0.0,1.0
2016-09-04,MAD - MASTER - SEO y SEM,1.0,1.0,1.0
2016-09-04,MAD - MASTER - UX,1.0,1.0,1.0
2016-09-04,NAC - MASTER - ANALITICA WEB,1.0,0.0,0.0
2016-09-04,NAC - MASTER - DATA SCIENCE,3.0,2.0,1.0
2016-09-04,NAC - MASTER - UX,3.0,3.0,3.0
2016-09-04,VAL - MASTER - SEO y SEM,2.0,2.0,1.0
2016-09-05,0 - MARCA,8.0,3.0,3.0
2016-09-05,0 - MARCA BCN,4.0,1.0,0.0
2016-09-05,AND - MASTER - MARKETING ONLINE,1.0,1.0,1.0
2016-09-05,AND - MASTER - SEO y SEM,2.0,0.0,1.0
2016-09-05,BCN - MASTER - ANALITICA WEB,1.0,1.0,1.0
2016-09-05,BCN - MASTER - SEO y SEM,2.0,2.0,2.0
2016-09-05,BCN - MASTER - UX,1.0,1.0,1.0
2016-09-05,MAD - CURSO - APACHE FLINK,1.0,0.0,2.0
2016-09-05,MAD - CURSO - ESTADISTICA,2.0,1.0,1.0
2016-09-05,MAD - CURSO - PROGRAMACION,1.0,1.0,1.0
2016-09-05,MAD - CURSO - R,1.0,1.0,1.0
2016-09-05,MAD - CURSO - SOLUCIONES NEGOCIO,1.0,0.0,1.0
2016-09-05,MAD - MASTER - ANALITICA WEB,1.0,1.0,1.0
2016-09-05,MAD - MASTER - BIG DATA,1.0,1.0,1.0
2016-09-05,MAD - MASTER - SEO y SEM,1.0,1.0,1.0
