date,users,newUsers
2016-09-01,27.0,19.0
2016-09-02,29.0,24.0
2016-09-03,19.0,13.0
2016-09-04,28.0,23.0
2016-09-05,37.0,22.0
2016-09-06,37.0,24.0
2016-09-07,32.0,24.0
2016-09-08,35.0,25.0
2016-09-09,35.0,27.0
2016-09-10,25.0,21.0
2016-09-11,26.0,14.0
2016-09-12,33.0,23.0
2016-09-13,44.0,27.0
2016-09-14,47.0,37.0
2016-09-15,34.0,23.0
2016-09-16,32.0,21.0
2016-09-17,20.0,17.0
2016-09-18,26.0,22.0
2016-09-19,34.0,24.0
2016-09-20,36.0,31.0
2016-09-21,33.0,20.0
2016-09-22,34.0,22.0
2016-09-23,37.0,26.0
2016-09-24,26.0,18.0
2016-09-25,27.0,23.0
2016-09-26,43.0,30.0
2016-09-27,36.0,26.0
2016-09-28,44.0,35.0
2016-09-29,34.0,25.0
2016-09-30,24.0,15.0
2016-10-01,19.0,18.0
2016-10-02,30.0,26.0
2016-10-03,40.0,25.0
2016-10-04,46.0,30.0
2016-10-05,37.0,21.0
2016-10-06,34.0,26.0
2016-10-07,32.0,20.0
2016-10-08,22.0,17.0
2016-10-09,26.0,15.0
2016-10-10,60.0,39.0
2016-10-11,60.0,38.0
2016-10-12,37.0,26.0
2016-10-13,62.0,43.0
2016-10-14,48.0,32.0
2016-10-15,31.0,23.0
2016-10-16,34.0,23.0
2016-10-17,72.0,49.0
2016-10-18,82.0,58.0
2016-10-19,56.0,38.0
2016-10-20,86.0,61.0
2016-10-21,71.0,54.0
2016-10-22,47.0,36.0
2016-10-23,51.0,34.0
2016-10-24,62.0,38.0
2016-10-25,51.0,35.0
2016-10-26,68.0,52.0
2016-10-27,51.0,40.0
2016-10-28,53.0,35.0
2016-10-29,33.0,22.0
2016-10-30,31.0,20.0
2016-10-31,42.0,22.0
2016-11-01,42.0,29.0
2016-11-02,67.0,37.0
2016-11-03,56.0,44.0
2016-11-04,62.0,43.0
2016-11-05,58.0,42.0
2016-11-06,40.0,32.0
2016-11-07,71.0,56.0
2016-11-08,47.0,39.0
2016-11-09,55.0,40.0
2016-11-10,72.0,53.0
2016-11-11,59.0,39.0
2016-11-12,42.0,28.0
2016-11-13,34.0,22.0
2016-11-14,63.0,46.0
2016-11-15,58.0,39.0
2016-11-16,71.0,48.0
2016-11-17,45.0,26.0
2016-11-18,63.0,41.0
2016-11-19,38.0,27.0
2016-11-20,35.0,28.0
2016-11-21,63.0,50.0
2016-11-22,61.0,42.0
2016-11-23,39.0,26.0
2016-11-24,44.0,27.0
2016-11-25,45.0,25.0
2016-11-26,28.0,20.0
2016-11-27,22.0,13.0
2016-11-28,42.0,25.0
2016-11-29,56.0,38.0
2016-11-30,49.0,31.0
2016-12-01,41.0,21.0
2016-12-02,32.0,22.0
2016-12-03,22.0,12.0
2016-12-04,16.0,13.0
2016-12-05,32.0,20.0
2016-12-06,21.0,15.0
2016-12-07,31.0,22.0
2016-12-08,15.0,8.0
2016-12-09,22.0,10.0
2016-12-10,19.0,15.0
2016-12-11,18.0,7.0
2016-12-12,22.0,16.0
2016-12-13,38.0,26.0
2016-12-14,27.0,19.0
2016-12-15,31.0,25.0
2016-12-16,33.0,22.0
2016-12-17,15.0,9.0
2016-12-18,28.0,20.0
2016-12-19,34.0,23.0
2016-12-20,37.0,19.0
2016-12-21,30.0,18.0
2016-12-22,31.0,20.0
2016-12-23,20.0,14.0
2016-12-24,7.0,6.0
2016-12-25,6.0,5.0
2016-12-26,14.0,11.0
2016-12-27,23.0,13.0
2016-12-28,16.0,11.0
2016-12-29,25.0,17.0
2016-12-30,26.0,15.0
2016-12-31,16.0,12.0
2017-01-01,17.0,13.0
2017-01-02,25.0,16.0
2017-01-03,39.0,27.0
2017-01-04,22.0,17.0
2017-01-05,29.0,22.0
2017-01-06,12.0,9.0
2017-01-07,14.0,10.0
2017-01-08,21.0,14.0
2017-01-09,43.0,27.0
2017-01-10,82.0,65.0
2017-01-11,50.0,38.0
2017-01-12,4.0,0.0
2017-01-13,7.0,0.0
2017-01-14,1.0,0.0
2017-01-15,2.0,0.0
2017-01-16,56.0,41.0
2017-01-17,60.0,31.0
2017-01-18,70.0,51.0
2017-01-19,62.0,47.0
2017-01-20,56.0,43.0
2017-01-21,52.0,36.0
2017-01-22,52.0,37.0
2017-01-23,101.0,75.0
2017-01-24,84.0,64.0
2017-01-25,95.0,78.0
2017-01-26,91.0,68.0
2017-01-27,96.0,62.0
2017-01-28,75.0,55.0
2017-01-29,81.0,67.0
2017-01-30,98.0,75.0
2017-01-31,100.0,78.0
2017-02-01,100.0,83.0
2017-02-02,120.0,98.0
2017-02-03,78.0,58.0
2017-02-04,77.0,65.0
2017-02-05,86.0,70.0
2017-02-06,118.0,97.0
2017-02-07,107.0,78.0
2017-02-08,109.0,86.0
2017-02-09,96.0,70.0
2017-02-10,91.0,63.0
2017-02-11,66.0,48.0
2017-02-12,77.0,59.0
2017-02-13,113.0,89.0
2017-02-14,102.0,72.0
2017-02-15,101.0,73.0
2017-02-16,100.0,73.0
2017-02-17,78.0,57.0
2017-02-18,51.0,41.0
2017-02-19,73.0,55.0
2017-02-20,92.0,68.0
2017-02-21,101.0,74.0
2017-02-22,91.0,65.0
2017-02-23,90.0,67.0
2017-02-24,98.0,73.0
2017-02-25,84.0,70.0
2017-02-26,72.0,56.0
2017-02-27,102.0,73.0
2017-02-28,88.0,59.0
2017-03-01,86.0,56.0
2017-03-02,132.0,98.0
2017-03-03,105.0,72.0
2017-03-04,78.0,62.0
2017-03-05,89.0,67.0
