date,ciudad,programa,nombre,users,newUsers,bounces,impressions,adClicks,adCost,cpc,ctr
2016-09-01,ALI,MASTER,MARKETING ONLINE,1.0,0.0,1.0,10.0,1.0,5.91,5.91,0.1
2016-09-01,BCN,MASTER,ANALITICA WEB,1.0,1.0,1.0,8.0,1.0,17.94,17.94,0.12
2016-09-01,BCN,MASTER,UX,1.0,0.0,0.0,14.0,2.0,5.75,2.875,0.14
2016-09-01,MAD,CURSO,ESTADISTICA,1.0,1.0,0.0,19.0,1.0,0.6,0.6,0.05
2016-09-01,MAD,CURSO,OPEN STACK,1.0,1.0,1.0,30.0,1.0,0.57,0.57,0.03
2016-09-01,MAD,CURSO,PROGRAMACION,1.0,1.0,1.0,19.0,1.0,1.14,1.14,0.05
2016-09-01,MAD,CURSO,R,1.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0
2016-09-01,MAD,CURSO,SOLUCIONES NEGOCIO,2.0,2.0,2.0,9.0,1.0,1.15,1.15,0.11
2016-09-01,MAD,MASTER,BIG DATA,2.0,2.0,0.0,14.0,2.0,23.93,11.965,0.14
2016-09-01,MAD,MASTER,DATA SCIENCE,2.0,2.0,2.0,49.0,3.0,10.49,3.4966666666666666,0.06
2016-09-01,MAD,MASTER,SEO y SEM,1.0,1.0,0.0,20.0,1.0,23.97,23.97,0.05
2016-09-01,MAD,MASTER,UX,3.0,2.0,2.0,44.0,2.0,13.33,6.665,0.05
2016-09-01,NAC,MASTER,DATA SCIENCE,1.0,1.0,0.0,25.0,1.0,13.48,13.48,0.04
2016-09-01,NAC,MASTER,UX,1.0,1.0,1.0,19.0,1.0,0.88,0.88,0.05
2016-09-01,VAL,MASTER,SEO y SEM,1.0,1.0,1.0,8.0,1.0,4.72,4.72,0.12
2016-09-02,AND,MASTER,SEO y SEM,1.0,1.0,1.0,28.0,1.0,3.32,3.32,0.04
2016-09-02,BCN,MASTER,ANALITICA WEB,2.0,1.0,1.0,4.0,2.0,25.66,12.83,0.5
2016-09-02,BCN,MASTER,MARKETING ONLINE,2.0,2.0,2.0,7.0,2.0,25.8,12.9,0.29
2016-09-02,MAD,CURSO,ESTADISTICA,1.0,1.0,0.0,9.0,1.0,1.18,1.18,0.11
2016-09-02,MAD,CURSO,HADOOP & SPARK,1.0,0.0,1.0,78.0,1.0,0.98,0.98,0.01
2016-09-02,MAD,CURSO,PROGRAMACION,1.0,1.0,1.0,7.0,1.0,1.08,1.08,0.14
2016-09-02,MAD,MASTER,BIG DATA,1.0,1.0,1.0,22.0,1.0,14.79,14.79,0.05
2016-09-02,MAD,MASTER,DATA SCIENCE,3.0,3.0,3.0,77.0,3.0,2.11,0.7033333333333334,0.04
2016-09-02,MAD,MASTER,SEO y SEM,2.0,2.0,2.0,19.0,2.0,18.62,9.31,0.11
2016-09-02,MAD,MASTER,UX,1.0,1.0,1.0,20.0,1.0,15.83,15.83,0.05
2016-09-02,NAC,MASTER,BIG DATA,1.0,1.0,0.0,32.0,1.0,9.19,9.19,0.03
2016-09-02,NAC,MASTER,DATA SCIENCE,1.0,1.0,0.0,52.0,2.0,26.96,13.48,0.04
2016-09-02,NAC,MASTER,SEO y SEM,1.0,1.0,0.0,21.0,1.0,5.03,5.03,0.05
