date,channelGrouping,deviceCategory,sessions,bounceRate
2017-03-01,Direct,desktop,45,33.33333333333333
2017-03-01,Direct,mobile,32,71.875
2017-03-01,Direct,tablet,6,33.33333333333333
2017-03-01,Organic Search,desktop,150,47.333333333333336
2017-03-01,Organic Search,mobile,44,65.9090909090909
2017-03-01,Organic Search,tablet,3,66.66666666666666
2017-03-02,Direct,desktop,49,42.857142857142854
2017-03-02,Direct,mobile,35,74.28571428571429
2017-03-02,Direct,tablet,3,100
2017-03-02,Organic Search,desktop,144,45.83333333333333
2017-03-02,Organic Search,mobile,21,47.61904761904761
2017-03-02,Organic Search,tablet,3,33.33333333333333
2017-03-03,Direct,desktop,36,47.22222222222222
2017-03-03,Direct,mobile,26,80.76923076923077
2017-03-03,Direct,tablet,4,50
2017-03-03,Organic Search,desktop,119,35.294117647058826
2017-03-03,Organic Search,mobile,30,66.66666666666666
2017-03-03,Organic Search,tablet,14,57.14285714285714
2017-03-04,Direct,desktop,18,50
2017-03-04,Direct,mobile,28,82.14285714285714
2017-03-04,Direct,tablet,2,50
2017-03-04,Organic Search,desktop,55,40
2017-03-04,Organic Search,mobile,27,51.85185185185185
2017-03-04,Organic Search,tablet,5,20
2017-03-05,Direct,desktop,12,50
2017-03-05,Direct,mobile,32,93.75
2017-03-05,Direct,tablet,4,25
2017-03-05,Organic Search,desktop,47,48.93617021276596
2017-03-05,Organic Search,mobile,20,55.00000000000001
2017-03-05,Organic Search,tablet,4,0
2017-03-06,Direct,desktop,51,37.254901960784316
2017-03-06,Direct,mobile,45,88.88888888888889
2017-03-06,Direct,tablet,3,100
2017-03-06,Organic Search,desktop,132,48.484848484848484
2017-03-06,Organic Search,mobile,31,45.16129032258064
2017-03-06,Organic Search,tablet,7,57.14285714285714
2017-03-07,Direct,desktop,40,50
2017-03-07,Direct,mobile,55,65.45454545454545
2017-03-07,Direct,tablet,5,80
2017-03-07,Organic Search,desktop,125,44
2017-03-07,Organic Search,mobile,30,56.666666666666664
2017-03-07,Organic Search,tablet,6,33.33333333333333
2017-03-08,Direct,desktop,54,42.592592592592595
2017-03-08,Direct,mobile,47,70.2127659574468
2017-03-08,Direct,tablet,5,60
2017-03-08,Organic Search,desktop,128,42.1875
2017-03-08,Organic Search,mobile,32,46.875
2017-03-08,Organic Search,tablet,6,83.33333333333334
2017-03-09,Direct,desktop,71,30.985915492957744
2017-03-09,Direct,mobile,52,67.3076923076923
2017-03-09,Direct,tablet,1,0
2017-03-09,Organic Search,desktop,138,40.57971014492754
2017-03-09,Organic Search,mobile,40,50
2017-03-09,Organic Search,tablet,2,0
2017-03-10,Direct,desktop,53,50.943396226415096
2017-03-10,Direct,mobile,24,62.5
2017-03-10,Direct,tablet,5,60
2017-03-10,Organic Search,desktop,142,45.774647887323944
2017-03-10,Organic Search,mobile,40,57.49999999999999
2017-03-10,Organic Search,tablet,8,50
2017-03-11,Direct,desktop,17,17.647058823529413
2017-03-11,Direct,mobile,30,86.66666666666667
2017-03-11,Direct,tablet,6,83.33333333333334
2017-03-11,Organic Search,desktop,48,35.41666666666667
2017-03-11,Organic Search,mobile,37,54.054054054054056
2017-03-11,Organic Search,tablet,1,100
2017-03-12,Direct,desktop,20,50
2017-03-12,Direct,mobile,33,75.75757575757575
2017-03-12,Direct,tablet,3,33.33333333333333
2017-03-12,Organic Search,desktop,62,41.935483870967744
2017-03-12,Organic Search,mobile,35,37.142857142857146
2017-03-12,Organic Search,tablet,8,25
2017-03-13,Direct,desktop,56,46.42857142857143
2017-03-13,Direct,mobile,36,72.22222222222221
2017-03-13,Direct,tablet,7,57.14285714285714
2017-03-13,Organic Search,desktop,156,38.46153846153847
2017-03-13,Organic Search,mobile,37,56.75675675675676
2017-03-13,Organic Search,tablet,7,28.57142857142857
2017-03-14,Direct,desktop,70,52.85714285714286
2017-03-14,Direct,mobile,44,65.9090909090909
2017-03-14,Direct,tablet,4,25
2017-03-14,Organic Search,desktop,176,39.20454545454545
2017-03-14,Organic Search,mobile,49,57.14285714285714
2017-03-14,Organic Search,tablet,7,28.57142857142857
2017-03-15,Direct,desktop,70,50
2017-03-15,Direct,mobile,38,76.31578947368422
2017-03-15,Direct,tablet,3,66.66666666666666
2017-03-15,Organic Search,desktop,143,46.15384615384615
2017-03-15,Organic Search,mobile,41,51.21951219512195
2017-03-15,Organic Search,tablet,2,100
2017-03-16,Direct,desktop,61,36.0655737704918
2017-03-16,Direct,mobile,31,74.19354838709677
2017-03-16,Direct,tablet,2,100
2017-03-16,Organic Search,desktop,138,46.3768115942029
2017-03-16,Organic Search,mobile,24,58.333333333333336
2017-03-16,Organic Search,tablet,8,50
2017-03-17,Direct,desktop,49,51.02040816326531
2017-03-17,Direct,mobile,26,76.92307692307693
2017-03-17,Direct,tablet,4,0
2017-03-17,Organic Search,desktop,106,32.075471698113205
2017-03-17,Organic Search,mobile,39,43.58974358974359
2017-03-17,Organic Search,tablet,4,75
2017-03-18,Direct,desktop,25,52
2017-03-18,Direct,mobile,18,72.22222222222221
2017-03-18,Direct,tablet,4,75
2017-03-18,Organic Search,desktop,38,42.10526315789473
2017-03-18,Organic Search,mobile,38,68.42105263157895
2017-03-18,Organic Search,tablet,4,25
2017-03-19,Direct,desktop,8,25
2017-03-19,Direct,mobile,13,38.46153846153847
2017-03-19,Direct,tablet,2,50
