query,page,country,countryName,clicks,impressions,ctr,position
paso noroeste,http://www.pasonoroeste.com/,esp,Spain,33,1623,0.02033271719038817,8.7258163894023415
paso del noroeste,http://www.pasonoroeste.com/,esp,Spain,17,676,0.02514792899408284,12.149408284023668
pasonoroeste,http://www.pasonoroeste.com/,esp,Spain,14,513,0.02729044834307992,8.399610136452242
paso del noroeste viajes,http://www.pasonoroeste.com/,esp,Spain,8,49,0.16326530612244897,8.408163265306122
paso noreste,http://www.pasonoroeste.com/,esp,Spain,7,77,0.09090909090909091,8.155844155844155
el paso del noroeste,http://www.pasonoroeste.com/,esp,Spain,6,377,0.015915119363395226,11.159151193633953
pasonoreste,http://www.pasonoroeste.com/,esp,Spain,4,33,0.12121212121212122,8.121212121212121
paso al noroeste,http://www.pasonoroeste.com/,esp,Spain,3,88,0.03409090909090909,10.988636363636363
paso noroeste viajes,http://www.pasonoroeste.com/,esp,Spain,3,58,0.05172413793103448,9.586206896551724
paso del noroeste agencia de viajes,http://www.pasonoroeste.com/,esp,Spain,2,12,0.16666666666666666,7.166666666666667
agencia paso noroeste,http://www.pasonoroeste.com/,esp,Spain,1,4,0.25,18
el paso noroeste,http://www.pasonoroeste.com/,esp,Spain,1,57,0.017543859649122806,9.68421052631579
paso a paso agencia de viajes,http://www.pasonoroeste.com/,esp,Spain,1,8,0.125,8
paso junior,http://www.pasonoroeste.com/,esp,Spain,1,39,0.02564102564102564,8
paso noroeste opiniones,http://www.pasonoroeste.com/,esp,Spain,1,33,0.030303030303030304,13.696969696969697
paso norte canada,http://www.pasonoroeste.com/,esp,Spain,1,1,1,11
pasonoroeste opiniones,http://www.pasonoroeste.com/,esp,Spain,1,20,0.05,11.2
3000km viajes,http://www.pasonoroeste.com/,esp,Spain,0,1,0,8
agencia,http://www.pasonoroeste.com/,esp,Spain,0,2,0,3
agencia de viajes alternativos,http://www.pasonoroeste.com/,esp,Spain,0,1,0,1
agencia de viajes paso a paso,http://www.pasonoroeste.com/,esp,Spain,0,17,0,10.058823529411764
agencia junior,http://www.pasonoroeste.com/,esp,Spain,0,1,0,1
agencia paso a paso,http://www.pasonoroeste.com/,esp,Spain,0,2,0,4
arrozales,http://www.pasonoroeste.com/,esp,Spain,0,1,0,3
comentarios agencia paso noroeste,http://www.pasonoroeste.com/,esp,Spain,0,1,0,82
decálogo turismo,http://www.pasonoroeste.com/,esp,Spain,0,2,0,1
ecuador aventura,http://www.pasonoroeste.com/,esp,Spain,0,1,0,11
el noroeste,http://www.pasonoroeste.com/,esp,Spain,0,1,0,2
el paso del noreste,http://www.pasonoroeste.com/,esp,Spain,0,1,0,11
el paso del noroeste viajes,http://www.pasonoroeste.com/,esp,Spain,0,3,0,8
el pasonoroeste,http://www.pasonoroeste.com/,esp,Spain,0,28,0,8.107142857142858
elpasodelnoroeste,http://www.pasonoroeste.com/,esp,Spain,0,19,0,9.894736842105264
icaria,http://www.pasonoroeste.com/,esp,Spain,0,1,0,7
islandia fotos,http://www.pasonoroeste.com/viajes/a/Islandia/1073/galeria.html,esp,Spain,0,1,0,94
junior travel,http://www.pasonoroeste.com/,esp,Spain,0,1,0,1
mezclarte,http://www.pasonoroeste.com/,esp,Spain,0,1,0,1
nor oeste,http://www.pasonoroeste.com/,esp,Spain,0,2,0,5
noroeste,http://www.pasonoroeste.com/,esp,Spain,0,26,0,3.423076923076923
noroeste viajes,http://www.pasonoroeste.com/,esp,Spain,0,3,0,9
norohe,http://www.pasonoroeste.com/,esp,Spain,0,2,0,3
norteste,http://www.pasonoroeste.com/,esp,Spain,0,1,0,3
paso,http://www.pasonoroeste.com/,esp,Spain,0,6,0,3.6666666666666665
paso a paso,http://www.pasonoroeste.com/,esp,Spain,0,3,0,1
paso de noroeste,http://www.pasonoroeste.com/,esp,Spain,0,13,0,8.461538461538462
paso del nordeste,http://www.pasonoroeste.com/,esp,Spain,0,2,0,12
paso del noreste,http://www.pasonoroeste.com/,esp,Spain,0,17,0,12.411764705882353
paso del noroeste mapa,http://www.pasonoroeste.com/,esp,Spain,0,15,0,11
paso del norte,http://www.pasonoroeste.com/,esp,Spain,0,1,0,4
paso norte,http://www.pasonoroeste.com/,esp,Spain,0,6,0,8.166666666666668
pasoalnoroeste,http://www.pasonoroeste.com/,esp,Spain,0,1,0,11
pasodelnoroeste,http://www.pasonoroeste.com/,esp,Spain,0,32,0,11.5625
