"query","page","country","countryName","clicks","impressions","ctr","position"
"paso del noroeste","http://www.pasonoroeste.com/","esp","Spain",7,557,0.0125673249551167,11.1633752244165
"fotos de croacia","http://www.pasonoroeste.com/galeria-de-fotos-de-Croacia.html","esp","Spain",2,12,0.166666666666667,8.41666666666667
"agencias de viaje de aventura","http://www.pasonoroeste.com/","esp","Spain",1,1,1,1
"viajes paso del noroeste","http://www.pasonoroeste.com/viaje/a/Jordania.html","esp","Spain",1,2,0.5,1
"agencias de viajes alternativas","http://www.pasonoroeste.com/","esp","Spain",1,6,0.166666666666667,3.66666666666667
"paso norte","http://www.pasonoroeste.com/","esp","Spain",1,11,0.0909090909090909,11
"viajes paso noroeste","http://www.pasonoroeste.com/","esp","Spain",1,18,0.0555555555555556,8
"paso al noroeste","http://www.pasonoroeste.com/","esp","Spain",1,112,0.00892857142857143,10.5803571428571
"pasonoroeste","http://www.pasonoroeste.com/","esp","Spain",1,124,0.00806451612903226,8
"el paso del noroeste","http://www.pasonoroeste.com/","esp","Spain",1,212,0.00471698113207547,8.08018867924528
"paso noroeste","http://www.pasonoroeste.com/","esp","Spain",1,430,0.00232558139534884,8.01627906976744
"pasonoreste","http://www.pasonoroeste.com/","esp","Spain",0,9,0,8
"nor-oeste","http://www.pasonoroeste.com/","esp","Spain",0,1,0,2
"viaje jordania","http://www.pasonoroeste.com/viaje/a/Jordania.html","esp","Spain",0,3,0,31.6666666666667
"transporte privado kiev","http://www.pasonoroeste.com/foros/viewtopic.php?t=10033","esp","Spain",0,2,0,40
"win basic","http://www.pasonoroeste.com/cobertura.pdf","esp","Spain",0,1,0,7
"agencias de viaje alternativas","http://www.pasonoroeste.com/","esp","Spain",0,8,0,1.125
"viajar a bulgaria consejos","http://www.pasonoroeste.com/viajes/a/Bulgaria/1045/salud.html","esp","Spain",0,1,0,17
"ficha de viaje","http://www.pasonoroeste.com/viajes/a/Uzbekistan/1168/ficha.html","esp","Spain",0,1,0,6
"viajes noroeste","http://www.pasonoroeste.com/","esp","Spain",0,19,0,7.68421052631579
