date,channelGrouping,sessions
2014-01-01,Direct,17
2014-01-01,Display,5
2014-01-01,Organic Search,32
2014-01-01,Paid Search,3
2014-01-01,Referral,2
2014-01-01,Social,3
2014-01-02,(Other),1
2014-01-02,Direct,22
2014-01-02,Display,7
2014-01-02,Organic Search,68
2014-01-02,Paid Search,1
2014-01-02,Referral,21
2014-01-02,Social,3
2014-01-03,(Other),3
2014-01-03,Direct,28
2014-01-03,Display,10
2014-01-03,Email,1
2014-01-03,Organic Search,54
2014-01-03,Paid Search,4
2014-01-03,Referral,18
2014-01-03,Social,16
2014-01-04,(Other),3
2014-01-04,Direct,10
2014-01-04,Display,2
2014-01-04,Organic Search,32
2014-01-04,Paid Search,1
2014-01-04,Referral,5
2014-01-04,Social,8
2014-01-05,(Other),3
2014-01-05,Direct,16
2014-01-05,Display,4
2014-01-05,Organic Search,25
2014-01-05,Referral,10
2014-01-05,Social,5
2014-01-06,(Other),4
2014-01-06,Direct,19
2014-01-06,Display,6
2014-01-06,Organic Search,36
2014-01-06,Paid Search,7
2014-01-06,Referral,8
2014-01-06,Social,4
2014-01-07,(Other),5
2014-01-07,Direct,32
2014-01-07,Display,70
2014-01-07,Organic Search,79
2014-01-07,Paid Search,7
2014-01-07,Referral,27
2014-01-07,Social,45
2014-01-08,(Other),4
2014-01-08,Direct,44
2014-01-08,Display,107
2014-01-08,Organic Search,89
2014-01-08,Paid Search,9
2014-01-08,Referral,16
2014-01-08,Social,36
2014-01-09,(Other),1
2014-01-09,Direct,70
2014-01-09,Display,87
2014-01-09,Organic Search,102
2014-01-09,Paid Search,8
2014-01-09,Referral,19
2014-01-09,Social,162
2014-01-10,(Other),1
2014-01-10,Direct,46
2014-01-10,Display,68
2014-01-10,Organic Search,75
2014-01-10,Paid Search,13
2014-01-10,Referral,10
2014-01-10,Social,61
2014-01-11,(Other),1
2014-01-11,Direct,16
2014-01-11,Display,35
2014-01-11,Organic Search,44
2014-01-11,Paid Search,10
2014-01-11,Referral,12
2014-01-11,Social,14
2014-01-12,(Other),1
2014-01-12,Direct,17
2014-01-12,Display,25
2014-01-12,Organic Search,30
2014-01-12,Paid Search,15
2014-01-12,Referral,6
2014-01-12,Social,11
2014-01-13,Direct,41
2014-01-13,Display,85
2014-01-13,Organic Search,132
2014-01-13,Paid Search,18
2014-01-13,Referral,47
2014-01-13,Social,45
2014-01-14,(Other),3
2014-01-14,Direct,24
2014-01-14,Display,86
2014-01-14,Organic Search,108
2014-01-14,Paid Search,9
2014-01-14,Referral,28
2014-01-14,Social,34
2014-01-15,(Other),8
2014-01-15,Direct,49
2014-01-15,Display,162
2014-01-15,Organic Search,102
2014-01-15,Paid Search,7
2014-01-15,Referral,26
2014-01-15,Social,18
2014-01-16,(Other),2
2014-01-16,Direct,24
2014-01-16,Display,145
2014-01-16,Organic Search,99
2014-01-16,Paid Search,17
2014-01-16,Referral,25
2014-01-16,Social,26
2014-01-17,Direct,56
2014-01-17,Display,111
2014-01-17,Organic Search,98
2014-01-17,Paid Search,31
2014-01-17,Referral,15
2014-01-17,Social,31
2014-01-18,(Other),3
2014-01-18,Direct,25
2014-01-18,Display,68
2014-01-18,Organic Search,51
2014-01-18,Paid Search,13
2014-01-18,Referral,12
2014-01-18,Social,20
2014-01-19,Direct,36
2014-01-19,Display,48
2014-01-19,Organic Search,57
2014-01-19,Paid Search,16
2014-01-19,Referral,9
2014-01-19,Social,12
2014-01-20,(Other),3
2014-01-20,Direct,57
2014-01-20,Display,168
2014-01-20,Organic Search,130
2014-01-20,Paid Search,47
2014-01-20,Referral,28
2014-01-20,Social,39
2014-01-21,(Other),16
2014-01-21,Direct,57
2014-01-21,Display,149
2014-01-21,Organic Search,125
2014-01-21,Paid Search,38
2014-01-21,Referral,19
2014-01-21,Social,79
2014-01-22,(Other),4
2014-01-22,Direct,54
2014-01-22,Display,118
2014-01-22,Organic Search,128
2014-01-22,Paid Search,30
2014-01-22,Referral,14
2014-01-22,Social,37
2014-01-23,(Other),6
2014-01-23,Direct,45
2014-01-23,Display,120
2014-01-23,Organic Search,128
2014-01-23,Paid Search,23
2014-01-23,Referral,17
2014-01-23,Social,112
2014-01-24,(Other),5
2014-01-24,Direct,51
2014-01-24,Display,67
2014-01-24,Organic Search,82
2014-01-24,Paid Search,18
2014-01-24,Referral,16
2014-01-24,Social,58
2014-01-25,(Other),5
2014-01-25,Direct,19
2014-01-25,Display,56
2014-01-25,Organic Search,55
2014-01-25,Paid Search,4
2014-01-25,Referral,11
2014-01-25,Social,23
2014-01-26,(Other),7
2014-01-26,Direct,26
2014-01-26,Display,46
2014-01-26,Organic Search,58
2014-01-26,Paid Search,12
2014-01-26,Referral,8
2014-01-26,Social,16
2014-01-27,(Other),11
2014-01-27,Direct,80
2014-01-27,Display,98
2014-01-27,Organic Search,120
2014-01-27,Paid Search,27
2014-01-27,Referral,15
2014-01-27,Social,30
2014-01-28,(Other),4
2014-01-28,Direct,54
2014-01-28,Display,126
2014-01-28,Organic Search,113
2014-01-28,Paid Search,31
2014-01-28,Referral,15
2014-01-28,Social,22
2014-01-29,(Other),6
2014-01-29,Direct,41
2014-01-29,Display,115
2014-01-29,Organic Search,105
2014-01-29,Paid Search,32
2014-01-29,Referral,13
2014-01-29,Social,11
2014-01-30,(Other),6
2014-01-30,Direct,37
2014-01-30,Display,93
2014-01-30,Organic Search,109
2014-01-30,Paid Search,31
2014-01-30,Referral,26
2014-01-30,Social,27
2014-01-31,(Other),6
2014-01-31,Direct,50
2014-01-31,Display,65
2014-01-31,Organic Search,99
2014-01-31,Paid Search,21
2014-01-31,Referral,16
2014-01-31,Social,18
2014-02-01,(Other),5
2014-02-01,Direct,27
2014-02-01,Display,36
2014-02-01,Organic Search,56
2014-02-01,Paid Search,9
2014-02-01,Referral,15
2014-02-01,Social,14
2014-02-02,(Other),6
2014-02-02,Direct,31
2014-02-02,Display,31
2014-02-02,Organic Search,47
2014-02-02,Paid Search,19
2014-02-02,Referral,10
2014-02-02,Social,7
2014-02-03,(Other),4
