path,total_conversions,total_conversion_value
Orgánico Home,3160,231216.1
Directo,2812,210463.3
Orgánico No Home,1310,88117.5
Orgánico Home > Directo,1197,89424
Directo > Directo,1161,90230.4
Directo > Directo > Directo,743,55003.8
Orgánico Home > Directo > Directo,633,50924.8
Directo > Directo > Directo > Directo,545,42333.3
Orgánico No Home > Directo,506,34689
Email Newsletter,396,32268.5
Orgánico Home > Directo > Directo > Directo,351,27410
Directo > Directo > Directo > Directo > Directo,346,24811.7
Directo > Directo > Directo > Directo > Directo > Directo,319,25379.3
Orgánico No Home > Directo > Directo,276,22458
Directo > Directo > Directo > Directo > Directo > Directo > Directo,235,20001.8
Orgánico Home > Directo > Directo > Directo > Directo,219,18818
Orgánico No Home > Directo > Directo > Directo,191,12805
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,177,13377.9
Directo > Orgánico Home,152,11031
Email Newsletter > Directo,150,11546.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,146,11990.8
Orgánico Home > Referencia,143,9168.5
SEM Marca,134,12122
Orgánico Home > Directo > Directo > Directo > Directo > Directo,133,10378.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,113,10083.8
Referencia,110,7694.5
Directo > Orgánico No Home,101,7815
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,100,8508.5
Email Newsletter > Email Newsletter,100,7200.5
SEM Marca > Orgánico Home,99,7612
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo,94,7782
Orgánico No Home > Directo > Directo > Directo > Directo,90,6188
SEM Marca > Directo,82,7525
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,81,7503
Email Newsletter > Directo > Directo,81,5633
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,76,5787.8
Recuperación del Carrito,76,5019
Directo > Orgánico Home > Directo,75,6347.5
Email Newsletter > Orgánico Home,72,4342
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo,70,5497
Orgánico No Home > Directo > Directo > Directo > Directo > Directo,65,4563
Directo > Referencia,63,4165.5
SEM Marca > Orgánico Home > Directo,62,3914.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,58,6054.5
Social Orgánico,55,4009
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,54,5142
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,53,5134.5
Email Newsletter > Email Newsletter > Directo,53,4380.5
SEM Marca > Directo > Directo,52,4004.5
Email Newsletter > Directo > Directo > Directo,50,3986
Directo > Directo > Orgánico Home,49,3178.5
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,49,4325.8
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,48,3892
SEM Marca > Orgánico Home > Directo > Directo,46,2701.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,46,3873
SEM Marca > Orgánico No Home,44,3144
Directo > Directo > Referencia,43,3809.5
Referencia > Directo,42,3088
Directo > Orgánico Home > Directo > Directo,42,4090.5
Orgánico Home > Directo > Referencia,41,3236.5
SEM Marca > Directo > Directo > Directo,37,2353
Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo,37,3160.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,35,2706
SEM Marca > Orgánico No Home > Directo,34,1903
Email Newsletter > Directo > Directo > Directo > Directo,34,2740.5
Directo > Orgánico No Home > Directo,33,2028.5
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,33,3304.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,32,2480.5
Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo,32,2423
SEM Marca > Orgánico Home > Directo > Directo > Directo,31,1951
Directo > Recuperación del Carrito,30,1831.5
Email Newsletter > Email Newsletter > Directo > Directo,29,2328.5
Email Newsletter > Email Newsletter > Email Newsletter,29,2061
Email Newsletter > Directo > Email Newsletter,28,2255.5
Orgánico Home > Directo > Directo > Referencia,27,2261
Email Newsletter > Email Newsletter > Email Newsletter > Email Newsletter,27,1422.5
Orgánico No Home > Referencia,27,1845
Directo > Directo > Directo > Referencia,26,1796
Social Orgánico > Directo,26,2098.5
SEM Marca > Directo > Directo > Directo > Directo,25,1605
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,25,2119.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,25,3092.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,24,1786.5
Directo > Orgánico No Home > Directo > Directo,24,1723
Email Newsletter > Email Newsletter > Email Newsletter > Directo,24,2317
Directo > Directo > Orgánico Home > Directo,22,1930
Directo > Email Newsletter,22,1446.5
Orgánico Home > Recuperación del Carrito,22,1725
Email Newsletter > Orgánico Home > Directo,22,1439
SEM Marca > Directo > Orgánico Home,21,1659.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,21,1592.2
Directo > Orgánico Home > Directo > Directo > Directo,21,1932.5
Orgánico No Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,21,1416
SEM Marca > SEM Marca,20,1919.5
SEM Marca > Directo > Orgánico Home > Directo,20,1595.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,20,1492.5
Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,20,2058.5
SEM Marca > Directo > Directo > Directo > Directo > Directo,19,1641
