keyword,sessions,bounces
(automatic matching),9.0,6.0
(content targeting),36.0,25.0
(not set),84.0,34.0
(remarketing/content targeting),287.0,125.0
+3 +push +up,2.0,1.0
+braguitas +algodon,2.0,1.0
+braguitas +baratas,4.0,1.0
+braguitas +blancas,3.0,3.0
+braguitas +brasileñas,45.0,21.0
+braguitas +gisela,10.0,2.0
+braguitas +negras,3.0,0.0
+catalogo +gisela,20.0,4.0
+catalogo +sujetadores,5.0,2.0
+comprar +braguitas,15.0,6.0
+comprar +pijama +mujer,21.0,6.0
+comprar +sujetador +push +up,2.0,2.0
+comprar +sujetador +sin +espalda,31.0,13.0
+comprar +sujetadores +online,18.0,9.0
+comprar +tanga,60.0,35.0
+conjunto +gisela,38.0,15.0
+gisela +ropa,229.0,37.0
+lenceria +gisela,58.0,8.0
+lenceria +mujer,2.0,0.0
+nuevos +sujetadores,9.0,5.0
+oferta +braguitas,3.0,1.0
+pack +braguitas,22.0,8.0
+pack +lenceria,2.0,1.0
+packs +braguitas,18.0,8.0
+pijama +chica,22.0,12.0
+pijama +chico,23.0,17.0
+pijama +corto +mujer,22.0,13.0
+pijama +dibujo,10.0,4.0
+pijama +estampado,13.0,12.0
+pijama +gisela,152.0,33.0
+pijama +hombre,531.0,310.0
+pijama +juvenil,15.0,10.0
+pijama +moderno,1.0,0.0
+pijama +mujer +online,20.0,12.0
+pijama +pantera +rosa,24.0,14.0
+pijama +snoopy,8.0,5.0
+pijamas +de +mujer,62.0,37.0
+pijamas +divertidos +hombre,22.0,14.0
+pijamas +graciosos +hombre,7.0,3.0
+pijamas +hombre +originales,10.0,5.0
+ropa +interior +novias,3.0,2.0
+sujetador +3 +tallas,10.0,4.0
+sujetador +algodon,45.0,33.0
+sujetador +algodon +sin +aros,12.0,8.0
+sujetador +apertura +delantera,1.0,1.0
+sujetador +aro,73.0,45.0
+sujetador +aumento,72.0,32.0
+sujetador +balconet,33.0,15.0
+sujetador +blanco,16.0,15.0
+sujetador +cierre +frontal,16.0,6.0
+sujetador +escote,25.0,9.0
+sujetador +multiposicion,5.0,4.0
+sujetador +negro,18.0,12.0
+sujetador +novia,155.0,86.0
+sujetador +novia +push +up,2.0,1.0
+sujetador +online,45.0,24.0
+sujetador +sin +foam,4.0,3.0
+sujetador +triangular,24.0,13.0
+sujetadores +bra,13.0,8.0
+sujetadores +gisela,165.0,44.0
+sujetadores +sin +aros,44.0,26.0
+sujetadores +triple +push,2.0,2.0
+sujetadores +triple +push-up,22.0,5.0
+tanga +online,18.0,9.0
+tanga +precio,3.0,2.0
+tienda +sujetadores +online,9.0,2.0
+tienda +tangas,13.0,8.0
+venta +lenceria,1.0,1.0
+venta +sujetadores +online,10.0,4.0
braguitas algodon,6.0,3.0
braguitas blancas,4.0,2.0
braguitas online,5.0,3.0
comprar braguitas,6.0,6.0
comprar pijama mujer,11.0,4.0
comprar sujetadores online,6.0,3.0
conjuntos gisela,47.0,7.0
dynamic search ads,22.0,7.0
gisela,2182.0,447.0
gisela com,21.0,3.0
gisela intimates,612.0,150.0
gisela lenceria,76.0,21.0
gisela malaga,17.0,7.0
gisela moda,18.0,6.0
gisela moda intima,8.0,2.0
gisela moments,21.0,4.0
gisela online,15.0,1.0
gisela ropa,13.0,3.0
gisela ropa interior,122.0,39.0
gisela underwear,8.0,1.0
gisela.com,84.0,14.0
gisele lenceria,6.0,1.0
nuevos sujetadores,1.0,1.0
pijama chico,15.0,8.0
pijama de mujer,61.0,38.0
pijama de snoopy,2.0,1.0
pijama divertido hombre,5.0,3.0
pijama gisela,66.0,11.0
pijama mujer,261.0,137.0
pijama pantera rosa,2.0,1.0
pijama snoopy,4.0,3.0
pijamas de snoopy,22.0,18.0
pijamas mujer,322.0,157.0
pijamas mujer online,7.0,5.0
pijamas snoopy,1.0,1.0
product_type_l1==accesorios,119.0,96.0
product_type_l1==braguitas,130.0,77.0
product_type_l1==pijamas hombre,22.0,14.0
product_type_l1==pijamas mujer,185.0,123.0
product_type_l1==sujetadores,688.0,597.0
ropa interior gisela,55.0,23.0
shopping/apparel/undergarments,76.0,34.0
shopping/apparel/women's clothing/dresses,105.0,60.0
shopping/apparel/women's clothing/skirts,20.0,6.0
sujetador algodon,22.0,12.0
sujetador apertura delantera,8.0,6.0
sujetador arrugas escote,7.0,5.0
sujetador balconet,13.0,6.0
sujetador blanco,46.0,21.0
sujetador cierre delantero,3.0,1.0
sujetador cierre frontal,2.0,0.0
sujetador con cierre delantero,3.0,3.0
sujetador doble push up,7.0,3.0
sujetador escote,4.0,2.0
sujetador media copa,9.0,6.0
sujetador media copa abierto,1.0,1.0
sujetador multiposicion,18.0,12.0
sujetador multiposiciones,8.0,5.0
sujetador negro,21.0,9.0
sujetador novia,8.0,7.0
sujetador para escote en v,17.0,10.0
sujetador push up,40.0,26.0
sujetador sin aros,45.0,29.0
sujetador super push up,11.0,4.0
sujetador triple push-up,24.0,12.0
sujetadores balconet,9.0,6.0
sujetadores baratos,35.0,21.0
sujetadores bonitos,6.0,2.0
sujetadores cierre delantero,6.0,4.0
sujetadores con aros,1.0,1.0
sujetadores con cierre delantero,5.0,4.0
sujetadores de algodon,40.0,23.0
sujetadores de algodon sin aros,10.0,7.0
sujetadores de novia,2.0,1.0
sujetadores escote,12.0,6.0
sujetadores espalda al aire,14.0,12.0
sujetadores gisela,234.0,72.0
sujetadores multiposicion,14.0,11.0
sujetadores multiposiciones,17.0,13.0
sujetadores novia,2.0,1.0
sujetadores online,14.0,8.0
sujetadores para escotes,41.0,32.0
sujetadores para escotes pronunciados,7.0,6.0
sujetadores para espalda descubierta,41.0,35.0
